barcelona,Francisco M.,357-485,5,4,
barcelona,Teo U.,1326,6,8,
barcelona,Teo U.,331-773,9,4,
barcelona,Josep C.,994,6,5,
barcelona,Francisco M.,911,6,4,
barcelona,Teo U.,2092,6,8,
barcelona,Francisco M.,1988,6,8,
barcelona,Francisco M.,1270,6,8,
barcelona,Mari Carmen R.,1022,6,4,
barcelona,Vanessa J.,928-1105,5,5,
barcelona,Sergi E.,309,10,2.5,
barcelona,Francesc G.,1160,6,5,
barcelona,Iris B.,674-1116,9,4,
barcelona,Gloria R.,379,9,4,
barcelona,Lidia S.,331-530,10,2,
barcelona,Marga A.,409,5,4,
barcelona,Mario S.,588-626,6,4,
barcelona,Tate C.,349,8,4,
barcelona,Maica C.,298,6,2.5,
barcelona,Ona d.,309,10,4,
barcelona,Laura S.,414-856,9,4,
barcelona,Cristina H.,342,9,4,
barcelona,Ramon B.,768-961,6,4,
barcelona,Sandra d.,1055-1359,6,8,
barcelona,Halimeh H.,693-897,6,4,
barcelona,Teo U.,789-1266,9,8,
barcelona,Josep S.,898-1108,6,4.5,
barcelona,Ariadna M.,608,5,5,
barcelona,Josep P.,1140-1281,5,10.5,
barcelona,Francisco M.,895,10,6,
,659,6,4,
,530,8,4,
,1381,6,8,
,348-701,9,.00xx,
,1222,8,8,
,647-784,5,4,
,1546,10,10,
,411-626,6,4,
,309,10,4,
,635,6,3,
,287,9,3,
,608-994,8,6.5,
,679-928,6,4,
,387,4,4,
,265,6,3,
,431-1049,9,4,
,848-1113,6,5,
,309,9,4,
,315-624,9,2,
,254,4,3,
,646-839,6,4,
,274-610,9,.00xx,
,996-1118,6,5,
,1381,6,6,
,927-1087,6,9,
,307-643,9,.00xx,
,365-806,9,4,
,353,10,3,
,641,5,6.5,
,351,9,4,
,372-780,9,4,
,735,6,4,
,1479-1529,6,9,
,337,8,3,
,497,4,4,
,769,6,4,
,458-1005,10,4,
,851-961,5,7,
,254,6,3,
,309,10,4,
,274-610,9,.00xx,
,300-668,10,2,
,249,9,2,
,1057-1723,10,8,
,1270-1502,4,8.5,
,453-895,9,6,
,350,10,4,
,271-619,10,2,
,342-989,10,3,
,254,5,3,
,901-1111,6,8,
,610,6,4,
,374-673,6,4,
,996-1129,6,5,
,359,10,3.5,
,241,6,3,
,326,6,4,
,851,6,16,
,853-919,6,5,
,335,8,3,
,376-442,4,3,
,271,4,3,
,613-967,5,4.5,
,420-1165,10,3,
,365,10,4,
,410-746,9,4,
,690-856,7,6,
,426-895,9,4,
,652-1005,9,4,
,331,10,4,
,254,6,3,
,779-972,6,5,
,404-722,9,4,
,608-994,8,6,
,344,9,3.5,
,317-411,6,2.5,
,1132-1215,4,8.5,
,309,10,2.5,
,1441-1745,6,8,
,304,9,3,
,424,8,4,
,279-615,9,2,
,585,6,4,
,1132,6,8,
,724-1221,6,5.5,
,264-432,9,3,
,1038,4,6,
,307-475,5,2,
,1381,6,8,
,981,2,6,
,742-919,5,5,
,1270,6,8,
,1778-2176,10,24,
,718-1105,8,9,
,342,9,4,
,1314,6,7,
,310-540,9,2,
,1281,6,9,
,898-995,2,7,
,673-717,5,8.5,
,273,9,2,
,862,10,5,
,1408,6,4,
,387,4,3,
,279,9,2,
,365,9,4,
,1521-2051,6,8,
,387,6,3,
,359-635,6,3,
,260-569,9,2,
,534-749,6,6,
,685,5,7,
,326,9,3,
,288-460,6,3,
,286-631,9,2,
,276,10,3,
,1690,6,8,
,309,9,2.5,
,795,5,8,
,718,5,8,
,845,6,5,
,1160-1657,10,7,
,1279-1599,6,8,
,167,4,2,
,646,2,4,
,1276,2,8,
,690,4,8,
,315,6,4,
,307-643,9,.00xx,
,558-929,9,6.5,
,867-1022,5,4,
,530,3,4,
,335,10,4,
,1101-1176,5,8,
,873,4,8,
,221,9,3,
,1358-1628,6,8,
,663,6,4.5,
,267-462,9,3.5,
,613-1099,9,7,
,690,6,4,
,718,4,8,
,469-1712,10,3,
,371-530,10,4,
,1334-1610,6,8,
,658,4,7,
,318-402,3,3,
,1635-1773,6,16,
,489-1134,9,4,
,283-442,10,.00xx,
,1823,6,8,
,249,8,2,
,707-928,6,4,
,265,9,3,
,455-782,9,4,
,596-641,2,4,
,1077-1326,10,8,
,323-442,10,3,
,1094-1182,3,5,
,323-651,9,2,
,295,10,4,
,1381-1657,6,8,
,497,10,4,
,1326,4,8,
,1057-1287,5,6,
,293-602,9,2,
,1281,6,8,
,334-705,9,2,
,668,6,4,
,685-823,6,5.5,
,1166,6,8,
,552,9,16,
,302,9,3,
,839,6,9,
,1335-1413,6,8,
,331-685,9,.00xx,
,408-752,9,4,
,801,4,5,
,342,9,4,
,2055,5,7,
,281-619,10,2,
,530,6,6,
,232,9,3,
,309,10,3.5,
,718,5,8,
,305-446,9,3,
,718-1105,8,9,
,307-643,9,2,
,1448-1525,6,10,
,662,2,4,
,265,10,3,
,1239-1334,6,9,
,1443-1708,6,8,
,574,5,4,
,663,4,8,
,1206-1272,6,8,
,469-718,10,4,
,719,4,8,
,361-530,10,4,
,871,8,5,
,670-875,6,4,
,757-839,6,5,
,828,6,5,
,608-696,5,4.5,
,911-994,6,5,
,989-1071,6,5,
,381-558,9,3.5,
,247,10,2,
,1049,6,5,
,254,9,4,
