madrid,Alfonso M.,331,6,3,
madrid,Alessandra F.,1398-2420,6,10,
madrid,Maria M.,497,6,3,
madrid,Ana Isabel E.,1211-1293,6,10,
madrid,Lola A.,381,6,4,
madrid,Alfonso M.,1110-1138,6,6.5,
madrid,Natalia G.,525,10,7.5,
madrid,Carlos L.,182-252,10,2.5,
,442-718,6,4,
,254-552,10,3,
,276,8,4,
,320,10,4,
,674-1005,6,6.5,
,387,2,3.5,
,383-515,8,4,
,378-648,10,4.5,
,210,10,2,
,668-679,3,9,
,353-464,6,4,
,1238-1354,6,7,
,254-447,6,3,
,287-420,7,3,
,972,3,10,
,685,6,5,
,939,6,8,
,517-577,4,5,
,342,6,3.5,
,265,10,4,
,530,7,3.5,
,983,6,8,
,193,7,.00xx,
,865-1011,5,6,
,387-431,5,4,
,212,10,3,
,608,6,4,
,497,6,7,
,287,10,3.5,
,445,8,4,
,552,4,9,
,298,8,4,
,1049,6,7,
,138,7,1
,378,7,3,
,204,2,2,
,884,4,9,
,254,10,3,
,690,6,4,
,210,10,2,
,352-511,7,4.5,
,445,8,4,
,1160,6,8,
,566,4,4,
,420-663,3,6,
,320-718,10,3,
,353-602,10,4.5,
,536-591,3,9,
,773,4,10,
,221,10,2.5,
,188,10,2.5,
,298,6,3.5,
,215,7,2,
,331-464,7,4,
,197-211,2,2,
,298-414,8,4,
,214-433,10,4.5,
,409-541,7,5,
,528-856,10,7.5,
,175,6,2.5,
,845-944,7,5.5,
,342,6,5.5,
,306-388,3,5.5,
,489-532,4,10,
,331,10,2.5,
,237-387,10,3,
,254-552,10,4,
,142-328,8,2,
,989,6,8,
,215,7,2,
,237-337,7,4,
,320-453,7,4,
,387-1083,10,3.5,
,541-652,6,5,
,414-580,7,5,
,547-679,7,7.5,
,387-735,10,7,
,257,10,3,
,469-1033,7,6,
,525,6,5,
,380-650,10,4.5,
,347-617,10,3.5,
,298,10,2,
,718,6,5.5,
,624,6,5,
,221,6,2,
,409-674,7,4.5,
,320,10,3,
,498-856,10,7.5,
,276,4,4,
,320,6,2.5,
,409-608,10,3,
,353-552,10,7,
,689-822,6,5,
,232,10,2.5,
,442,3,7.5,
,580-1077,10,7.5,
,276,7,3,
,265,10,5.5,
,193,10,2,
,294-552,10,3,
,287,9,4,
,337-475,6,4,
,221,10,2,
,175,10,2.5,
,525,10,7,
,139-288,10,2,
,138,10,2,
,1105,6,8,
,215,10,2.5,
,353,10,3,
,873,4,8,
,287,7,4,
,258-447,10,2,
,226,6,2,
,356-501,7,4.5,
,555-1312,8,8.5,
,287,10,5,
,387,6,3.5,
,298,8,4,
,497,6,8,
,402-672,10,4.5,
,298-497,7,3.5,
,328,7,5,
,828,6,5,
,331,7,4.5,
,254,10,4,
,284-397,7,3,
,967,6,8,
,182,8,2,
,1083,6,8,
,497,10,7.5,
,276,10,4,
,514-1359,10,8,
,602-768,7,7.5,
,464-851,6,3,
,276,4,4,
,276,6,4,
,224-286,8,2.5,
,278-410,8,3.5,
,254-365,6,3,
,497,6,8,
,1129-1244,3,24,
,469,10,8,
,265,7,4,
,210,10,3,
,499-592,3,8,
,320-817,10,3,
,1210-1292,6,8,
,1166-1239,7,7,
,663,6,4,
,166,6,2,
,442,10,8,
,635,6,4,
,939,5,9,
,180-252,6,2,
,536-569,3,11,
,724-862,6,7,
,243-442,10,3,
,298,10,4,
,619,6,5,
,608,6,4,
,442,10,8,
,608-630,3,8.5,
,347-426,4,6,
,304,10,3,
,221,7,4,
,939,6,8,
,387,7,7,
,298,6,4,
,331,10,3,
,193,10,2,
,989,6,8,
,381-464,6,3,
,348-481,7,4,
,221,10,3,
,287,7,4,
,263-690,10,4,
,442,2,4.5,
,235,7,2,
,293,10,4,
,271-387,8,4.5,
,276,7,4,
,1049,6,8,
,822-1341,6,16,
,514-862,10,7.5,
,171-320,10,3,
,602,7,8,
,276,10,3.5,
,309,10,4,
,445,8,4,
,1231-1385,6,6,
,365-497,7,4,
,359,6,3,
,307-685,10,3,
,873,4,6,
,588,6,4,
,525-1071,10,8,
,353,7,4,
,309,10,4,
,552,3,7.5,
,469,6,3,
,309,6,4,
,510-723,4,7,
,249,6,2,
,249,10,6,
,685,3,5,
,498-584,4,11,
,220,10,2,
,588-677,4,10,
,408-678,10,5.5,
,386-953,10,4.5,
,519,6,3,
,265,7,4,
,806,6,7,
,232,10,2.5,
,497-828,7,10,
,624-657,3,8,
,265,7,4,
,287,10,4,
,175,10,3,
,276,10,4,
,392,8,4,
,204,6,.00xx,
,635-1580,10,7,
,442,5,8,
,346,10,8,
,320,7,3,
,828,3,8.5,
,538,6,3,
,1215-1878,4,9,
,145-334,10,.00xx,
