paris,Carine C.,442,5,4,
,453,5,2,
,431,6,2,
,1060-1198,6,7,
,825,6,4,
,585,10,5,
,1878,2,8,
,1837-1943,7,5,
,580-718,6,3,
,276,6,2.5,
,718,6,4.5,
,737,6,5,
,563,6,3,
,1557-1823,5,12.5,
,442,6,2,
,361-510,6,2,
,298,6,3,
,365,6,2,
,857,6,4,
,232,6,2,
,420,2,4,
,331,6,3,
,1988,8,9,
,608,6,7,
,596,6,7,
,431-779,10,3.5,
,563-862,7,4,
,420,6,3,
,350-444,6,2.5,
,2099,7,10,
,1878,4,12,
,2237-2485,10,5,
,668-862,8,7.5,
,497,8,5,
,848,6,4,
,353-574,9,2.5,
,442,5,4,
,442,6,3,
,433-610,6,2.5,
,390-746,8,4.5,
,276,4,2,
,1000-1215,6,8,
,320,6,2.5,
,287,10,3,
,304,6,2.5,
,276,10,2,
,1084-1658,6,7,
,462-561,6,4,
,237,6,2.5,
,530,6,5,
,320,4,3,
,525-663,6,2.5,
,276,6,2,
,166,2,2.5,
,298,10,2,
,729,6,4,
,420,10,2.5,
,519,6,3,
,320,2,3,
,369,6,3,
,276,6,2.5,
,613,10,8,
,221,10,2.5,
,221,10,2,
,1348-1524,5,12,
,1288,6,7,
,311-433,6,2,
,690,7,4,
,1215-1878,7,8,
,249,10,2,
,608,8,6,
,504-601,5,2.5,
,359-497,6,3,
,357-585,10,5,
,387,2,2,
,387,10,2.5,
,188,10,2.5,
,2088,7,11,
,774-1305,7,4,
,874-1067,6,4,
,624-817,8,7,
,353,6,3,
,748-993,7,5,
,287,10,3,
,420,8,4,
,320,4,3,
,845-951,7,5,
,276,6,2,
,630,8,7.5,
,331,10,3,
,939,6,4.5,
,359,6,3,
,326,6,2,
,858-1037,7,4,
,342-740,10,3,
,718,8,7,
,414,6,3.5,
,298,10,2.5,
,326,6,3,
,384-862,10,2.5,
,287,10,3,
,293,5,2.5,
,359,4,3,
,1809,6,11,
,1988,6,14,
,276,6,2,
,389-566,6,2,
,276,6,2,
,839-1105,5,4,
,353,6,3,
,420,8,4,
,326,6,3,
,591,6,6,
,287,6,2,
,381-828,10,2.5,
,2043-2441,7,11,
,436,6,4,
,276,6,2,
,331,8,3,
,481-674,6,4,
,978-1337,6,8,
,351-478,6,3,
,398,6,2,
,3634,7,16,
,349,8,3,
,300-446,7,3,
,276,8,2.5,
,596,8,6,
,1286,4,10,
,309,6,2,
,309,6,2,
,298,6,3,
,276,6,2,
,1326,6,5,
,497,8,5,
,442,6,2,
,1215,5,10,
,1320-1624,6,8,
,320,5,2,
,199,6,2.5,
,1171-1370,4,10,
,331,10,2,
,293,6,3,
,1602,4,12,
,237,6,2.5,
,1464,7,11.5,
,392-558,6,3,
,955-1038,6,4.5,
,276,8,2.5,
,1270,2,8,
,1105-1270,7,9.5,
,646,2,5,
,1508-2104,7,12,
,707-839,4,4.5,
,359,10,2.5,
,2231-2761,5,12,
,701-839,6,7,
,387,10,3,
,712-795,4,5,
,682-886,6,4,
,243,5,2.5,
,541,6,4,
,221,5,.00xx,
,747-890,6,4,
,608,8,6,
,376-773,10,2,
,552,10,7,
,249,2,3,
,1657-2209,6,6,
,1671-1771,6,8,
,387,6,3,
,1800-2066,7,8,
,795,10,8,
,281,6,2,
,1182-1646,7,8,
,740-906,6,7,
,210-409,10,2.5,
,1127-1359,4,9,
,646,6,7.5,
,939,6,5,
,365,8,2.5,
,663,10,8,
,1129-1202,4,9,
,635,7,3,
,1193-1557,7,8,
,525-608,4,4.5,
,265,6,2,
,630,6,8,
,276,6,2.5,
,845-911,5,5,
,442,8,3.5,
,455-823,10,4.5,
,384-539,6,3,
,2596-3093,10,8,
,276,6,2,
,729,5,5,
,431,10,3,
,276,6,2,
,298,6,2.5,
,326,6,3,
,972-1105,4,6,
,287,5,3,
,392-530,6,3,
,432-548,6,2.5,
,387,5,2.5,
,3225-3424,7,16,
,485-579,6,4,
,751,6,6,
,442,10,3.5,
,643-902,6,7,
,1408,7,11,
,1142,8,7.5,
,326,6,3,
,547,6,6,
,530-828,10,3.5,
,585,6,5.5,
,1331-1696,7,12.5,
,249,2,3,
,1776-1895,7,8,
,237,6,2.5,
,1546,4,9,
,387,6,3,
,1657,6,12,
,967-1105,6,4,
,617,6,6,
,298,5,3,
,608,8,6,
,392-740,8,3,
,1270-1546,6,12,
,315-663,10,2.5,
,1076-1242,6,7,
,1033-1430,7,8,
,334-552,10,2.5,
,409-541,7,3,
,276,6,2,
,237,6,2.5,
,1066-1331,7,8,
,939,6,4,
,464,6,4,
,494-632,6,4,
